UniqueCount	AmbigCount
78748	0
47483	0
70	2898
1	51
3248	0
40	159
32	141
114	16
11	0
55	0
445	1346
6481	1
2543	0
5217	0
1082	0
1536	0
5230	0
1051	0
1341	0
4897	0
2120	0
902	0
1462	0
1147	0
962	0
1454	0
19517	0
3359	0
8897	0
3848	0
1616	0
2521	0
194675	0
12	0
736	0
2229	0
9955	0
662	0
1933	0
667	0
1677	0
3102	0
2300	0
3042	0
1452	0
648	0
3347	301
99	301
2514	0
957	0
9137	0
2839	0
4052	0
1620	0
2896	0
420	0
3421	0
6783	0
1986	0
2599	0
3528	0
29742	0
1545	0
1517	0
1492	0
2710	0
2637	0
0	1
14950	50367
17918	0
106	0
3026	0
3967	0
2954	0
5648	0
2121	0
2686	0
1057	0
95	261955
0	98334
0	15
4246	0
11500	0
1288	0
1260	0
187	146
555	0
0	0
0	7
2593	0
2011	0
397	0
391	954
176	1200
9349	0
10	0
2940	0
383	1121
108	141
5	50
2	220
226	400
91	4090
269	37220
3	3957
0	21621
0	1172
0	15
2311	0
3012	0
3385	0
2124	0
3216	0
4007	0
2363	0
31	0
0	12634
303	108597
0	1
9497	0
6601	0
335	0
785	0
5430	0
25786	0
1625	0
7836	0
1552	0
1270	0
2025	0
6649	7719
1731	0
3589	0
1795	2
1480	0
931	49
1340	0
2652	0
1647	0
19095	0
2211	0
815	0
5	0
6361	41076
11	0
657	0
616	0
1136	0
1645	0
2448	0
1033	0
7906	0
794	0
3470	0
2069	0
1045	0
572	0
6953	0
2359	0
5760	0
1519	0
1433	0
2207	0
2824	0
4696	0
2978	0
917	0
7356	0
1889	0
4754	0
30	0
968	0
2847	0
5933	0
3789	0
327	0
2714	0
2044	0
1535	0
5452	0
1516	0
1173	0
5117	0
3030	0
1071	0
2127	0
1014	0
4432	0
922	0
24523	9494
1238	0
755	0
3182	0
1949	0
5248	0
1001	0
2406	0
1416	0
1320	0
7382	6
2579	0
3942	0
0	8
0	24
1616	0
282	0
3620	3
1141	0
1135	0
11	0
1494	0
6710	0
2244	0
2880	0
0	7611
255	246321
0	7
1836	0
16530	5426
16495	423
6015	0
3529	0
2643	0
3270	0
1277	0
1666	0
4410	0
4017	0
2458	0
19007	26690
24024	24068
50816	0
0	99440
276	340714
765	0
0	15
2431	0
3369	0
2507	0
3801	0
597	0
449	869
247	1597
0	728
1175	0
1387	0
3505	0
1414	0
12237	0
4305	0
29	0
2859	0
2033	0
1673	0
5787	51837
106	0
1549	0
4111	0
8155	0
20	0
3075	0
6169	0
1815	0
2235	0
5742	0
451	0
2679	0
2450	0
4539	0
2097	0
12	0
1066	0
3195	0
2469	0
7802	6817
3970	0
236	0
5060	0
3713	0
11582	0
2921	0
0	15
5342	0
0	2
309	0
2645	0
2778	0
3008	0
4493	0
1592	0
1494	0
1479	0
1883	0
1339	0
12488	0
104156	0
20078	0
63	3817
208	3817
1118	0
3242	0
38995	0
9	0
3189	0
2406	0
761	0
2272	0
19462	0
9372	0
4472	0
2681	0
0	17
0	26
13796	0
2229	0
2618	0
20117	9494
3007	0
7445	0
4482	0
1473	0
2739	0
2209	1536
483	1536
661	0
30165	6547
2694	6731
1994	0
1740	0
2365	0
988	0
1100	0
3514	0
2614	0
3364	0
5320	0
6612	0
10318	0
1209	0
1443	0
6416	0
2697	0
6702	0
1197	0
4071	110
2071	0
0	0
2038	0
8788	595586
1744	0
515	0
11507	0
2337	0
2173	0
2288	0
13308	0
2966	0
26658	0
1067	0
3199	0
2571	0
1286	0
2049	0
3009	0
1496	1
801	0
2305	0
1322	0
3776	0
2439	0
1087	0
1585	0
9030	0
17	0
12276	0
2347	0
2896	0
966	0
8080	0
1316	2
4544	0
583	0
1279	0
2667	0
1962	0
1082	0
6554	0
13286	0
4272	0
2075	0
2307	0
16512	0
1850	0
1916	0
2346	0
1942	0
3040	0
788	0
1012	0
3232	0
2755	0
2778	0
3101	0
3354	0
1813	0
1386	0
2585	0
2337	0
552	0
3426	44421
645	0
26	0
236	0
366	0
1000	0
390	0
3008	0
884	0
20727	2412
14887	8836
1656	0
1301	0
405	0
3220	0
47193	0
17	0
34	0
1696	0
3762	0
7915	0
2773	0
179	0
1356	0
3128	0
5412	1
1357	0
2263	0
2310	0
3605	0
2878	0
153	0
0	16
0	20
953	0
1013	0
3211	0
3451	0
5178	0
2067	0
2214	0
796	0
11466	5368
1	254
1675	254
18762	0
3	0
5597	0
885	0
1338	0
2308	0
1357	0
3455	0
1418	0
861	0
395	0
1373	0
931	0
604	0
6701	0
2555	0
2814	0
3131	0
1773	0
1454	0
10949	0
3518	0
1260	0
1097	0
401	0
2314	0
1748	0
1647	0
11676	0
17018	0
644	0
1998	0
1709	0
1556	0
790	0
2317	0
1025	0
16302	0
1447	0
539	0
1210	0
1858	0
1824	0
1356	0
5131	0
1921	0
3924	0
1514	1009
0	1009
1025	0
1629	0
1485	0
1059	0
1249	0
3268	0
1566	0
2036	0
3163	0
2659	0
4701	0
1494	0
1932	0
1062	0
5448	0
825	0
804	0
30909	0
2979	0
1478	0
1429	2
3835	0
1743	0
37	0
2568	0
7511	0
1670	0
491	0
13	0
2074	325
2086	0
9	0
19	513
76	2164
2071	16864
29	0
81	0
95	1597
38	1762
1	189
3596	4239
1518	42
38592	0
1534	0
1820	0
2006	0
247	839
0	839
2518	0
5808	0
1148	0
2041	0
3	0
2584	0
3296	0
2014	0
5656	0
6919	0
958	0
405	0
2189	0
5233	0
1186	0
21955	0
850	957
25258	957
3024	0
4328	0
102	0
561	0
7038	0
5141	0
1523	0
1540	0
3155	0
63669	0
1896	0
3733	0
1763	0
877	0
582	0
8878	61
1972	0
0	20
366	0
0	14149
28	124553
0	0
3456	0
1518	0
1659	0
590	0
7015	0
3648	0
18593	0
1834	0
2719	0
67	0
1423	0
915	0
1318	0
2423	0
182	0
134	0
187	0
3609	0
1199	0
3974	0
153500	0
175	0
0	70
1070	0
0	41
2446	0
4604	0
320	0
4307	0
251702	0
1190	0
708	0
329	0
0	24
2387	0
5074	0
1794	0
0	8
0	6
1161	0
10070	0
771	0
590	0
2784	0
48	0
3875	0
991	0
6080	0
2896	17
155	0
3266	0
929	0
0	2
1434	0
2731	0
2276	0
13	0
24176	4933
23	0
1566	0
4122	0
2306	0
3155	0
3266	0
2963	0
535	189
680	73
3458	31
46	0
1156	0
2621	0
2087	0
2091	0
2843	0
11489	1639
78	1639
2889	0
3590	0
15045	0
1139	0
2607	0
2957	0
1220	0
1689	0
0	0
256	0
1700	0
839	0
2366	0
2712	0
8792	0
1164	0
1368	0
2788	0
2838	0
1334	0
486	0
1533	0
6063	0
2048	0
1313	0
2536	0
1041	0
5336	0
44	0
979	0
1416	0
6418	0
1818	0
1357	0
