direction	genes	n_genes	n_reported
NA	ARG5,6, CIA2, FRD1, MFALPHA292, MPC2, YAR009C, YBL005W-B, YBL100W-B, YBR012W-B, YDR170W-A, YDR261C-D, YJR027W, YLR227W-B, YMR045C, YNL284C-B	16	15
UP	COX26, MOS1 SHH3	2	3
