sample	seqname	reads	note
SRR1166446_JCYL002D_cellobiose	NC_001147.6	84274	
SRR1166446_JCYL002D_cellobiose	NC_001148.4	82791	
SRR1166446_JCYL002D_cellobiose	NC_001224.1	17	
SRR1166446_JCYL002D_cellobiose	cdt-1EGFP	4063	
SRR1166446_JCYL002D_cellobiose	gh1-1	2966	
SRR1166447_JCYL003D_cellobiose	NC_001133.9	17029	
SRR1166447_JCYL003D_cellobiose	NC_001134.8	85432	
SRR1166447_JCYL003D_cellobiose	NC_001135.5	25136	
SRR1166447_JCYL003D_cellobiose	NC_001136.10	144827	
SRR1166447_JCYL003D_cellobiose	NC_001137.3	51457	
SRR1166447_JCYL003D_cellobiose	NC_001138.5	27717	
SRR1166447_JCYL003D_cellobiose	NC_001139.9	113040	
SRR1166447_JCYL003D_cellobiose	NC_001140.6	52213	
SRR1166447_JCYL003D_cellobiose	NC_001141.2	27098	
SRR1166447_JCYL003D_cellobiose	NC_001142.9	73252	
SRR1166447_JCYL003D_cellobiose	NC_001143.9	59579	
SRR1166447_JCYL003D_cellobiose	NC_001144.5	117029	
SRR1166447_JCYL003D_cellobiose	NC_001145.3	62224	
SRR1166447_JCYL003D_cellobiose	NC_001146.8	55150	
SRR1166447_JCYL003D_cellobiose	NC_001147.6	86549	
SRR1166447_JCYL003D_cellobiose	NC_001148.4	85283	
SRR1166447_JCYL003D_cellobiose	NC_001224.1	18	
SRR1166447_JCYL003D_cellobiose	cdt-1EGFP	3424	
SRR1166447_JCYL003D_cellobiose	gh1-1	2465	
