metric	sample	JCYL001B	JCYL002B	JCYL003B	JCYL001D	JCYL002D	JCYL003D
spearman	JCYL001B	1	0.996741843255794	0.996128294388599	0.886279638467459	0.895412286742333	0.887233485371785
spearman	JCYL002B	0.996741843255794	1	0.997418249225354	0.886167601982363	0.89543600778756	0.888891580211413
spearman	JCYL003B	0.996128294388599	0.997418249225354	1	0.88554820573398	0.894150957207859	0.88846775554052
spearman	JCYL001D	0.886279638467459	0.886167601982363	0.88554820573398	1	0.994901467924506	0.997657481849768
spearman	JCYL002D	0.895412286742333	0.89543600778756	0.894150957207859	0.994901467924506	1	0.994419169932154
spearman	JCYL003D	0.887233485371785	0.888891580211413	0.88846775554052	0.997657481849768	0.994419169932154	1
