gene_id	JCYL001B	JCYL002B	JCYL003B	JCYL001D	JCYL002D	JCYL003D
cdt-1EGFP	15.9950996182936	15.9792460507355	15.4574960280549	17.3776986286747	17.6097598868469	17.2276729702647
gene-Q0158	6.18612153607785	6.37892659219261	6.09403595816159	8.21308124046517	8.31768551105068	8.0864919633087
gh1-1	15.2718146636268	15.2352720069548	14.9457415053448	16.8955871545336	17.0688447011339	16.769602881821
NR_132153.1	11.5953739106082	11.5115144053533	11.5427167341333	11.0490037663696	11.2349347766015	11.202822398517
NR_132166.1	6.20601616596216	6.28302597509905	5.73058138124888	8.09031402434056	8.26041728984151	8.02453486806145
NR_132171.1	8.30542119501275	8.43532869414355	8.31676958881158	9.637215409781	9.64889817487087	9.5481915278835
NR_132176.1	9.54171693116351	3.71400165851154	9.37651537372172	8.86709637592334	8.99536089386855	8.78009683983615
NR_132177.1	9.96412240355164	9.96504822688808	9.91545413719363	9.59610297095316	9.83175824712959	9.5786280540914
NR_132251.1	7.18423185831763	7.22173640287364	7.19541878485967	7.51382503562444	7.62845285553006	7.2768374009171
NR_172474.1	8.26920384398331	8.16936432529843	8.11070939892031	8.72778506916437	8.6797570892083	8.63858243378762
NR_172475.1	10.1717999729923	10.3375089269692	10.525575799994	10.3699932494619	10.3824614382635	10.1587814596533
NR_172476.1	6.80484010928681	6.81271275110769	6.43761252034787	8.02227024388592	8.01694653973638	7.34970301816084
NR_172477.1	9.17468790852208	9.31777470388889	9.2994629990116	8.49332762660919	8.40393871755299	8.53142516583941
NR_172478.1	8.37096374656989	8.27848982355919	8.46542277400169	8.54959550944978	8.30829782721132	8.6051522009754
Q0020	4.73493948456875	4.96045033447019	4.87192658807557	5.83878905199794	5.66508157346727	5.41727125881426
Q0050	4.80235487307139	4.85740806312878	4.72322361635868	5.35099088240602	5.56691464568161	5.32909162943883
Q0055	4.80235487307139	4.60863979624554	4.54346126010413	5.73988662067766	5.7561557917852	5.78219336857087
Q0105	5.2629494337204	5.55109783011205	5.16772503640931	7.00772465108488	7.39029439026455	6.67337762012756
Q0120	5.22053425720461	4.91028219693011	5.00057216924608	6.09725055870386	6.35737189415964	6.40296008792602
YAL001C	11.963488304923	11.9107925248537	11.949584320112	11.962645544886	11.8864952764389	11.9718220466261
YAL002W	11.5834609825289	11.6033602606067	11.5356922104068	11.6865671034475	11.6943738432996	11.7089467203818
YAL003W	14.0782680822435	14.1543908017941	14.1391837973421	14.9013345625301	14.834575382056	14.9119041020578
YAL005C	14.5009010998091	14.4316766815273	14.341040101628	15.9573957897384	16.1298264644341	15.8702599491156
YAL007C	11.3770592770725	11.4577445554502	11.4154421317204	11.3045898463719	11.1224566060603	11.2901251269647
YAL008W	11.4209757441151	11.4042058098046	11.3976705846888	11.6404124239085	11.7883735752159	11.5987377540033
YAL009W	10.574065417491	10.524340195939	10.51682112936	10.4245475850623	10.3824614382635	10.3969577608949
YAL010C	10.6223391368603	10.5744980322193	10.5727991647018	10.1648957775725	10.3712530051574	10.2507421781185
YAL011W	10.6392588230329	10.6660161275426	10.5854144053828	11.0200830890297	10.896410499345	10.9403299387688
YAL012W	14.7865349724244	14.8172891028309	14.6063517011522	12.0137929391712	12.0977492461774	11.9611382600657
YAL013W	11.6354237712795	11.5128011515836	11.4849779228048	11.8178550752519	11.7294678158151	11.6926445447955
YAL014C	11.3312159225812	11.3874683602404	11.4312514687263	11.2162075116479	11.0561142862459	11.1524179468694
YAL015C	10.9075046601794	10.9069056647895	10.9284625603443	10.596133865382	10.5187291778495	10.5583448259578
YAL016W	12.7230789562732	12.7111384050294	12.6701976402143	12.8025335777668	12.8394197102186	12.7541697542037
YAL017W	11.7476639822224	11.7096684511258	11.7884480944168	11.9269588838473	11.8955199462559	11.8974755580456
YAL018C	8.79357062823483	8.57015147457306	8.40494368277639	9.28860793930698	9.85447715803144	9.29679241171381
YAL019W	11.5127426696523	11.5637658564884	11.4816077134667	11.656894959277	11.6314143480017	11.7128711747631
YAL020C	10.4723831639926	10.361515656449	10.2928393957728	11.0343082118933	10.8814783423194	10.8926857821151
YAL021C	11.763994782647	11.7765427511692	11.7214520202489	12.348755229114	12.3911549432768	12.3480683312657
YAL022C	11.3955205451937	11.4060535958767	11.445160228446	10.6921019370934	10.794372254248	10.6866147313335
YAL023C	13.1268078055653	13.1784541726633	13.29125976279	13.0937379112437	12.9784868154195	13.1477455115873
YAL024C	9.94848657642515	9.8983410153226	10.0398410384835	10.0779943814365	10.0499227097729	10.2788141792756
YAL025C	11.3124627461104	11.4497049554821	11.531352364009	11.7860447398703	11.7355989197326	11.854602039489
YAL026C	11.8012642172107	11.9039436900723	11.8910881042545	11.6192331619206	11.6323535098104	11.6508087790416
YAL027W	9.40465344773872	9.33921744151581	9.3272779996638	9.61433702348203	9.57850726152553	9.74504665983345
YAL028W	10.5028691781259	10.5158083334858	10.4812612266571	10.4753012325334	10.4553917415125	10.3773089046838
YAL029C	11.601748049334	11.6041653141269	11.5820637983034	11.408433131183	11.3166659699402	11.4724799859717
YAL030W	11.1939137618083	11.1638333781654	11.1526928473614	11.2259402359891	11.0845289889202	11.0653112770204
YAL031C	11.604471225162	11.5724304843761	11.5899103922907	11.3112084627661	11.2889411351028	11.2828833433975
YAL032C	10.7100864017568	10.7175197803384	10.8285367590998	11.21783419914	11.1736758272646	11.1902094912971
YAL033W	9.45381950727622	9.37740538055606	9.53453093975845	9.6850513120631	9.56085267334012	9.47148368443151
YAL034C	10.8867741569947	10.9942524237185	10.8539573844797	11.3061199167848	11.4836481856849	11.3461552258903
YAL034W-A	9.43149299565087	9.39612657101007	9.31217275541631	9.61433702348203	9.54896169619895	9.56999726717086
YAL035W	13.2773140278293	13.3364960385358	13.2346602866444	13.7884363920043	13.7079084268475	13.7646060491869
YAL036C	11.0468351367114	11.1951616886064	11.2569104842642	11.3586749624809	11.4263211255759	11.5056610471976
YAL037C-A	5.03243027158677	5.00823711295516	5.11485276135637	4.92728381411808	5.01219833709859	4.88427127045992
YAL037W	9.56986428870269	9.55450137151064	9.61263157953858	9.09439152829671	9.15034436161088	9.06455820012681
YAL038W	17.4799174410028	17.4657418638209	17.5876573136496	17.5827321809686	17.6646048616993	17.570118383159
