ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
carboxylic acid metabolic process	carboxylic acid metabolic process	338	-0.529711712574527	-2.22938974146512	8.19843503000553e-16	1.98774783863861e-13	1.79973301041461e-13	788	tags=36%, list=13%, signal=33%	YIL145C/YJR009C/YMR009W/YIL094C/YML099C/YNL168C/YHR025W/YOR025W/YLR451W/YPR118W/YMR303C/YDL127W/YPR128C/YOR221C/YLR027C/YBR166C/YBL098W/YOR108W/YML076C/YDR034C/YHR067W/YGL148W/YOR317W/YGL154C/YIR031C/YNL256W/YLL058W/YDR127W/YJL196C/YNL316C/YIL020C/YCL009C/YJL097W/YHR174W/YNR050C/YOR323C/YJR148W/YGL059W/YJL200C/YGR124W/YDL080C/YCR005C/YJL052W/YLR089C/YER090W/YKR080W/YBR177C/YPL095C/YFR055W/YER061C/YPL273W/YMR020W/YDR035W/YKL106W/YCL064C/YER086W/YHR063C/YGL202W/YBR248C/YER073W/YFR025C/YJR139C/YGL026C/YDL131W/YJR130C/YHR208W/YDL182W/YDR158W/YJL071W/YOR388C/YOL140W/YCL030C/YAL044C/YGR267C/YOR202W/YBR145W/YOR303W/YIL116W/YGR204W/YPR145W/YDL066W/YOR130C/YNL104C/YGL009C/YLL062C/YKL211C/YEL071W/YOR184W/YER055C/YDR354W/YGR155W/YGL125W/YLR058C/YER052C/YMR095C/YJR109C/YHR112C/YMR189W/YIR034C/YER069W/YMR062C/YOL058W/YDR019C/YJL088W/YMR096W/YLR180W/YAL012W/YOL064C/YJL060W/YDR502C/YHR018C/YGL184C/YIL074C/YER091C/YNL277W/YPR167C/YFR030W/YJR137C/YKL001C/YJR010W/YLR134W/YLR303W
oxoacid metabolic process	oxoacid metabolic process	353	-0.528737680383072	-2.23622519278021	1.20753910542032e-15	2.68375566179665e-13	2.42990763845106e-13	788	tags=36%, list=13%, signal=33%	YIL145C/YJR009C/YMR009W/YIL094C/YML099C/YNL168C/YHR025W/YOR025W/YLR451W/YPR118W/YMR303C/YDL127W/YPR128C/YOR221C/YLR027C/YBR166C/YBL098W/YHR201C/YOR108W/YNR013C/YML076C/YDR034C/YHR067W/YGL148W/YOR317W/YGL154C/YNL217W/YIR031C/YNL256W/YLL058W/YDR127W/YJL196C/YNL316C/YIL020C/YCL009C/YJL097W/YHR174W/YNR050C/YOR323C/YOL164W/YJR148W/YGL059W/YJL200C/YGR124W/YDL080C/YCR005C/YJL052W/YLR089C/YER090W/YKR080W/YBR177C/YPL095C/YFR055W/YER061C/YPL273W/YMR020W/YDR035W/YKL106W/YCL064C/YER086W/YHR063C/YGL202W/YBR248C/YER073W/YFR025C/YJR139C/YGL026C/YDL131W/YJR130C/YHR208W/YDL182W/YDR158W/YJL071W/YOR388C/YOL140W/YCL030C/YAL044C/YGR267C/YOR202W/YBR145W/YOR303W/YIL116W/YGR204W/YPR145W/YDL066W/YOR130C/YNL104C/YGL009C/YML123C/YLL062C/YKL211C/YEL071W/YOR184W/YER055C/YDR354W/YGR155W/YGL125W/YLR058C/YER052C/YMR095C/YJR109C/YHR112C/YMR189W/YIR034C/YER069W/YMR062C/YOL058W/YDR019C/YJL088W/YMR096W/YLR180W/YAL012W/YOL064C/YJL060W/YDR502C/YHR018C/YGL184C/YIL074C/YER091C/YNL277W/YPR167C/YFR030W/YJR137C/YKL001C/YJR010W/YLR134W/YLR303W
RNA-directed DNA polymerase activity	RNA-directed DNA polymerase activity	43	-0.867152298005233	-2.64174093740106	1.33657854777295e-15	2.74204229762342e-13	2.4826811243653e-13	606	tags=74%, list=10%, signal=67%	YOL103W-B/YHR214C-B/YCL019W/YDR034C-D/YGR038C-B/YOR142W-B/YDR261W-B/YOR192C-B/YFL002W-A/YBL100W-B/YMR050C/YDR365W-B/YGR161C-D/YPR158W-B/YER160C/YNL054W-B/YBR012W-B/YBL005W-B/YDR098C-B/YDR210C-D/YLR227W-B/YML045W/YMR045C/YAR009C/YJR029W/YGR027W-B/YJR027W/YNL284C-B/YPR137C-B/YPR158C-D/YER138C/YDR261C-D
alpha-amino acid biosynthetic process	alpha-amino acid biosynthetic process	110	-0.712638630884011	-2.60247962642799	1.59255569349327e-15	3.03381859610468e-13	2.74685921870192e-13	838	tags=63%, list=14%, signal=55%	YOR241W/YJR016C/YMR042W/YMR009W/YIL094C/YHR025W/YLR451W/YPR118W/YLR027C/YBR166C/YOR108W/YDR034C/YGL154C/YLL058W/YNL316C/YIL020C/YCL009C/YNR050C/YOR323C/YJR148W/YGR124W/YLR089C/YER090W/YKL106W/YER086W/YGL202W/YBR248C/YFR025C/YJR139C/YGL026C/YDL131W/YHR208W/YDL182W/YDR158W/YJL071W/YOL140W/YCL030C/YOR202W/YOR303W/YIL116W/YPR145W/YDL066W/YOR130C/YNL104C/YGL009C/YKL211C/YOR184W/YER055C/YDR354W/YGR155W/YGL125W/YLR058C/YER052C/YJR109C/YIR034C/YER069W/YMR062C/YOL058W/YJL088W/YLR180W/YAL012W/YOL064C/YDR502C/YHR018C/YGL184C/YIL074C/YER091C/YNL277W/YLR303W
sulfur amino acid metabolic process	sulfur amino acid metabolic process	43	-0.865236991714488	-2.63590604190742	2.12081587730847e-15	3.77081062985446e-13	3.41414148950571e-13	350	tags=58%, list=6%, signal=55%	YFR055W/YPL273W/YGL202W/YJR139C/YJR130C/YHR208W/YDR158W/YLL062C/YGR155W/YGL125W/YER052C/YHR112C/YLR180W/YAL012W/YOL064C/YDR502C/YGL184C/YER091C/YNL277W/YPR167C/YFR030W/YJR137C/YKL001C/YJR010W/YLR303W
RNA-DNA hybrid ribonuclease activity	RNA-DNA hybrid ribonuclease activity	46	-0.850269493363096	-2.60998930734731	5.37289859415186e-15	8.95595034412688e-13	8.10883511512129e-13	606	tags=70%, list=10%, signal=63%	YOL103W-B/YHR214C-B/YCL019W/YDR034C-D/YGR038C-B/YOR142W-B/YDR261W-B/YOR192C-B/YFL002W-A/YBL100W-B/YMR050C/YDR365W-B/YGR161C-D/YPR158W-B/YER160C/YNL054W-B/YBR012W-B/YBL005W-B/YDR098C-B/YDR210C-D/YLR227W-B/YML045W/YMR045C/YAR009C/YJR029W/YGR027W-B/YJR027W/YNL284C-B/YPR137C-B/YPR158C-D/YER138C/YDR261C-D
DNA integration	DNA integration	42	-0.86849292864912	-2.63389213500468	5.75187231479346e-15	9.02367262562009e-13	8.17015175859826e-13	606	tags=76%, list=10%, signal=69%	YOL103W-B/YHR214C-B/YCL019W/YDR034C-D/YGR038C-B/YOR142W-B/YDR261W-B/YOR192C-B/YFL002W-A/YBL100W-B/YMR050C/YDR365W-B/YGR161C-D/YPR158W-B/YER160C/YNL054W-B/YBR012W-B/YBL005W-B/YDR098C-B/YDR210C-D/YLR227W-B/YML045W/YMR045C/YAR009C/YJR029W/YGR027W-B/YJR027W/YNL284C-B/YPR137C-B/YPR158C-D/YER138C/YDR261C-D
sulfur compound biosynthetic process	sulfur compound biosynthetic process	87	-0.738419415064159	-2.58428368910493	7.54681174249491e-15	1.11818593984633e-12	1.01242024194639e-12	520	tags=41%, list=9%, signal=38%	YLL058W/YJR156C/YJR148W/YGL059W/YDL080C/YMR020W/YHR063C/YGL202W/YOR143C/YJR139C/YJR130C/YHR208W/YDR158W/YPL258C/YPL214C/YGR155W/YJL101C/YGL125W/YER052C/YOL055C/YBR240C/YLR180W/YAL012W/YOL064C/YDR502C/YGL184C/YPR121W/YER091C/YNL277W/YPR167C/YFR030W/YJR137C/YKL001C/YJR010W/YLR303W/YGR144W
L-amino acid biosynthetic process	L-amino acid biosynthetic process	105	-0.708159550103116	-2.56229211124317	1.64676181233169e-14	2.19595687674431e-12	1.98824820920468e-12	838	tags=62%, list=14%, signal=54%	YOR241W/YJR016C/YMR042W/YMR009W/YIL094C/YHR025W/YLR451W/YPR118W/YLR027C/YBR166C/YOR108W/YDR034C/YGL154C/YLL058W/YNL316C/YIL020C/YCL009C/YNR050C/YOR323C/YJR148W/YGR124W/YLR089C/YKL106W/YER086W/YGL202W/YBR248C/YFR025C/YJR139C/YDL131W/YHR208W/YDL182W/YDR158W/YJL071W/YOL140W/YCL030C/YOR202W/YOR303W/YIL116W/YPR145W/YDL066W/YOR130C/YNL104C/YGL009C/YOR184W/YER055C/YGR155W/YGL125W/YLR058C/YER052C/YJR109C/YIR034C/YER069W/YMR062C/YOL058W/YJL088W/YLR180W/YAL012W/YOL064C/YDR502C/YHR018C/YGL184C/YIL074C/YER091C/YNL277W/YLR303W
proteinogenic amino acid biosynthetic process	proteinogenic amino acid biosynthetic process	105	-0.708159550103116	-2.56229211124317	1.64676181233169e-14	2.19595687674431e-12	1.98824820920468e-12	838	tags=62%, list=14%, signal=54%	YOR241W/YJR016C/YMR042W/YMR009W/YIL094C/YHR025W/YLR451W/YPR118W/YLR027C/YBR166C/YOR108W/YDR034C/YGL154C/YLL058W/YNL316C/YIL020C/YCL009C/YNR050C/YOR323C/YJR148W/YGR124W/YLR089C/YKL106W/YER086W/YGL202W/YBR248C/YFR025C/YJR139C/YDL131W/YHR208W/YDL182W/YDR158W/YJL071W/YOL140W/YCL030C/YOR202W/YOR303W/YIL116W/YPR145W/YDL066W/YOR130C/YNL104C/YGL009C/YOR184W/YER055C/YGR155W/YGL125W/YLR058C/YER052C/YJR109C/YIR034C/YER069W/YMR062C/YOL058W/YJL088W/YLR180W/YAL012W/YOL064C/YDR502C/YHR018C/YGL184C/YIL074C/YER091C/YNL277W/YLR303W
sulfur amino acid biosynthetic process	sulfur amino acid biosynthetic process	35	-0.880948311934195	-2.55960934018513	3.10165734521013e-14	3.93910482841687e-12	3.56651726812634e-12	279	tags=60%, list=5%, signal=58%	YGL202W/YJR139C/YJR130C/YHR208W/YDR158W/YGR155W/YGL125W/YER052C/YLR180W/YAL012W/YOL064C/YDR502C/YGL184C/YER091C/YNL277W/YPR167C/YFR030W/YJR137C/YKL001C/YJR010W/YLR303W
respiratory chain complex	respiratory chain complex	45	0.920214468914253	2.57360334984622	9.21348546250388e-14	1.11692571493172e-11	1.01127921775043e-11	418	tags=91%, list=7%, signal=85%	YDR119W-A/YHR001W-A/YGL187C/YNL052W/YKL148C/YMR256C/YLR038C/YKL109W/YDR529C/YLL041C/YLR395C/YEL024W/YMR118C/YPL271W/YJL166W/YOL077W-A/YGL191W/YDR178W/YML081C-A/YBR039W/YBL045C/YKL141W/YFR033C/YDL004W/YGR183C/YLR295C/YHR051W/YPR191W/YBL099W/YDR377W/YDR322C-A/YPR020W/YDR298C/YKL016C/YJR121W/YOR065W/YPL078C/YDL067C/YJL045W/YLR164W/YNR018W
DNA polymerase activity	DNA polymerase activity	57	-0.799300378485284	-2.55931515217492	1.00240217158412e-13	1.16235069200646e-11	1.05240758883935e-11	606	tags=56%, list=10%, signal=51%	YOL103W-B/YHR214C-B/YCL019W/YDR034C-D/YGR038C-B/YOR142W-B/YDR261W-B/YOR192C-B/YFL002W-A/YBL100W-B/YMR050C/YDR365W-B/YGR161C-D/YPR158W-B/YER160C/YNL054W-B/YBR012W-B/YBL005W-B/YDR098C-B/YDR210C-D/YLR227W-B/YML045W/YMR045C/YAR009C/YJR029W/YGR027W-B/YJR027W/YNL284C-B/YPR137C-B/YPR158C-D/YER138C/YDR261C-D
RNA-templated DNA biosynthetic process	RNA-templated DNA biosynthetic process	69	-0.760932572949976	-2.55285851900719	2.48426095263407e-13	2.76063498361461e-11	2.49951518655375e-11	388	tags=48%, list=6%, signal=45%	YOL103W-B/YHR214C-B/YCL019W/YDR034C-D/YGR038C-B/YOR142W-B/YDR261W-B/YOR192C-B/YFL002W-A/YBL100W-B/YMR050C/YDR365W-B/YGR161C-D/YPR158W-B/YER160C/YNL054W-B/YBR012W-B/YIL009C-A/YBL005W-B/YDR098C-B/YDR210C-D/YLR227W-B/YML045W/YMR045C/YAR009C/YJR029W/YGR027W-B/YJR027W/YNL284C-B/YPR137C-B/YPR158C-D/YER138C/YDR261C-D
DNA-directed DNA polymerase activity	DNA-directed DNA polymerase activity	55	-0.801051619975038	-2.53705703859391	4.08900557479691e-13	4.36215114719334e-11	3.94954896361436e-11	606	tags=58%, list=10%, signal=53%	YOL103W-B/YHR214C-B/YCL019W/YDR034C-D/YGR038C-B/YOR142W-B/YDR261W-B/YOR192C-B/YFL002W-A/YBL100W-B/YMR050C/YDR365W-B/YGR161C-D/YPR158W-B/YER160C/YNL054W-B/YBR012W-B/YBL005W-B/YDR098C-B/YDR210C-D/YLR227W-B/YML045W/YMR045C/YAR009C/YJR029W/YGR027W-B/YJR027W/YNL284C-B/YPR137C-B/YPR158C-D/YER138C/YDR261C-D
aspartic-type endopeptidase activity	aspartic-type endopeptidase activity	38	-0.846215758244209	-2.48303270918979	3.31689851076242e-12	3.27635864007532e-10	2.96645816128226e-10	606	tags=71%, list=10%, signal=64%	YOL103W-B/YHR214C-B/YGL259W/YDR144C/YGR038C-B/YOR142W-B/YMR050C/YDR365W-B/YGR161C-D/YPR158W-B/YER160C/YNL054W-B/YBR012W-B/YBL005W-B/YDR098C-B/YDR210C-D/YLR227W-B/YML045W/YMR045C/YJR029W/YGR027W-B/YJR027W/YNL284C-B/YPR137C-B/YPR158C-D/YER138C/YDR261C-D
aspartic-type peptidase activity	aspartic-type peptidase activity	38	-0.846215758244209	-2.48303270918979	3.31689851076242e-12	3.27635864007532e-10	2.96645816128226e-10	606	tags=71%, list=10%, signal=64%	YOL103W-B/YHR214C-B/YGL259W/YDR144C/YGR038C-B/YOR142W-B/YMR050C/YDR365W-B/YGR161C-D/YPR158W-B/YER160C/YNL054W-B/YBR012W-B/YBL005W-B/YDR098C-B/YDR210C-D/YLR227W-B/YML045W/YMR045C/YJR029W/YGR027W-B/YJR027W/YNL284C-B/YPR137C-B/YPR158C-D/YER138C/YDR261C-D
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	70	-0.738127196776614	-2.49894737555764	5.87043686551059e-12	5.59159111439884e-10	5.06270006371477e-10	388	tags=47%, list=6%, signal=45%	YOL103W-B/YHR214C-B/YCL019W/YDR034C-D/YGR038C-B/YOR142W-B/YDR261W-B/YOR192C-B/YFL002W-A/YBL100W-B/YMR050C/YDR365W-B/YGR161C-D/YPR158W-B/YER160C/YNL054W-B/YBR012W-B/YNL221C/YBL005W-B/YDR098C-B/YDR210C-D/YLR227W-B/YML045W/YMR045C/YAR009C/YJR029W/YGR027W-B/YJR027W/YNL284C-B/YPR137C-B/YPR158C-D/YER138C/YDR261C-D
RNA endonuclease activity, producing 5'-phosphomonoesters	RNA endonuclease activity, producing 5'-phosphomonoesters	63	-0.756338619498108	-2.48218561193348	1.32639819710924e-11	1.21982896265184e-09	1.10444917029713e-09	388	tags=52%, list=6%, signal=50%	YOL103W-B/YHR214C-B/YCL019W/YDR034C-D/YGR038C-B/YOR142W-B/YDR261W-B/YOR192C-B/YFL002W-A/YBL100W-B/YMR050C/YDR365W-B/YGR161C-D/YPR158W-B/YER160C/YNL054W-B/YBR012W-B/YNL221C/YBL005W-B/YDR098C-B/YDR210C-D/YLR227W-B/YML045W/YMR045C/YAR009C/YJR029W/YGR027W-B/YJR027W/YNL284C-B/YPR137C-B/YPR158C-D/YER138C/YDR261C-D
mitochondrial membrane	mitochondrial membrane	493	0.552542756404185	2.01487837837026	2.05684852351238e-11	1.82853833740251e-09	1.65558263611839e-09	1236	tags=40%, list=20%, signal=34%	YGR236C/YDR343C/YDR119W-A/YHR001W-A/YGL187C/YNL052W/YKL148C/YIL155C/YMR256C/YLR038C/YGR243W/YPR010C-A/YDR529C/YNL144C/YLL041C/YBL030C/YIL136W/YLR395C/YEL024W/YJR077C/YPL134C/YPL186C/YMR118C/YAL039C/YPL271W/YJL166W/YOL077W-A/YGL191W/YDR178W/YML120C/YML081C-A/YBR039W/YBL045C/YKL141W/YFR033C/YDL004W/YGR174C/YBR230C/YGR183C/YDL174C/YLR295C/YHR051W/YPR191W/YKL150W/YBL099W/YDR377W/YDR322C-A/YPR020W/YMR145C/YDR298C/YKL016C/YKL026C/YCL057C-A/YJR121W/YJL133C-A/YOR065W/YOR356W/YPL078C/YPL189C-A/YMR110C/YJL062W-A/YNL185C/YER182W/YIR038C/YDL067C/YOL109W/YML009C/YKR016W/YPR061C/YJL045W/YNL055C/YOR045W/YER004W/YLR454W/YFR011C/YJL063C/YLR164W/YPL183W-A/YOR285W/YNR018W/YGL253W/YDR231C/YJL066C/YML048W/YGR021W/YLR289W/YMR056C/YDR405W/YPR100W/YPR021C/YBR262C/YLR204W/YJR095W/YHR005C-A/YJR034W/YBL038W/YLL013C/YLR439W/YEL020W-A/YKL133C/YIL065C/YPL004C/YML129C/YKR042W/YLR099C/YNR017W/YDR115W/YMR225C/YKL195W/YNL305C/YLR259C/YLR390W/YML030W/YIL006W/YBL095W/YGL068W/YNR037C/YOL026C/YER141W/YJR135W-A/YKL138C/YMR257C/YPR133W-A/YGR046W/YLR168C/YHR147C/YNL306W/YGR215W/YGR086C/YPR166C/YPR002W/YOL053W/YNL100W/YPR098C/YDL107W/YPL013C/YBR150C/YDR494W/YPR183W/YNR022C/YJR045C/YGL080W/YBL059C-A/YJR080C/YLR356W/YGR181W/YDR462W/YKL137W/YOR176W/YGR231C/YBL059W/YOR147W/YGR220C/YPR125W/YPR117W/YKL087C/YJL096W/YKR006C/YHR059W/YOR150W/YMR089C/YJR113C/YPL215W/YMR286W/YGR132C/YNL122C/YBR185C/YGR076C/YOR158W/YDR282C/YNR020C/YOR020W-A/YGR082W/YBL090W/YDR381C-A/YPL118W/YJL161W/YKL003C/YJL082W/YDR347W/YDR316W/YNR036C/YKL018C-A/YBR282W/YEL050C/YJR073C/YPL173W/YDR116C/YCL044C/YNL070W/YNR045W/YNL252C/YDR322W/YMR302C/YIL087C/YBL078C
DNA biosynthetic process	DNA biosynthetic process	98	-0.67722315543321	-2.41682912998657	5.49332506690263e-11	4.72603159788042e-09	4.27901110474521e-09	388	tags=32%, list=6%, signal=30%	YDR034C-D/YGR038C-B/YOR142W-B/YDR261W-B/YOR192C-B/YFL002W-A/YBL100W-B/YMR050C/YDR365W-B/YGR161C-D/YPR158W-B/YER160C/YNL054W-B/YBR012W-B/YIL009C-A/YBL005W-B/YDR098C-B/YDR210C-D/YLR227W-B/YML045W/YMR045C/YAR009C/YJR029W/YGR027W-B/YJR027W/YNL284C-B/YPR137C-B/YPR158C-D/YER138C/YDL059C/YDR261C-D
generation of precursor metabolites and energy	generation of precursor metabolites and energy	207	0.684909394673785	2.30854056155273	6.09431274965631e-11	5.07922878229168e-09	4.59880047622092e-09	686	tags=45%, list=11%, signal=41%	YIL057C/YFR053C/YHR001W-A/YGL187C/YJL116C/YNL052W/YKL148C/YIL155C/YOR178C/YMR256C/YLR038C/YKL109W/YDR529C/YLL041C/YBL030C/YLR395C/YEL024W/YPL134C/YMR118C/YPL271W/YER054C/YJL166W/YGL191W/YDR178W/YFR017C/YML120C/YBL045C/YKL141W/YFR033C/YER067W/YGR256W/YCL040W/YGR183C/YMR105C/YKL085W/YHR051W/YMR081C/YPR191W/YEL039C/YDR148C/YDL085W/YMR145C/YDR516C/YDR298C/YAL054C/YIL024C/YBR117C/YPR184W/YPL061W/YFL053W/YGR043C/YJR121W/YFR049W/YOR065W/YOR356W/YEL011W/YGR244C/YJR048W/YIL125W/YKL093W/YBR269C/YDL067C/YOR374W/YJR120W/YIL045W/YJR104C/YJL045W/YLR174W/YNR001C/YGL062W/YLR304C/YNL242W/YDL021W/YLR377C/YLR164W/YGL253W/YIL070C/YMR056C/YFL018C/YFR015C/YJL121C/YPR021C/YLL013C/YLR345W/YPR160W/YDL078C/YGL134W/YNL009W/YMR311C/YMR002W/YER156C/YGR248W/YOL071W
nucleotidyltransferase activity	nucleotidyltransferase activity	123	-0.629798649623619	-2.34364810516696	6.95636425445353e-11	5.62200711109926e-09	5.09023910676759e-09	606	tags=28%, list=10%, signal=26%	YOL103W-B/YHR214C-B/YGR202C/YDL175C/YCL019W/YDR034C-D/YGR038C-B/YOR142W-B/YDR261W-B/YOR192C-B/YFL002W-A/YBL100W-B/YMR050C/YDR365W-B/YGR161C-D/YPR158W-B/YER160C/YNL054W-B/YBR012W-B/YBL005W-B/YDR098C-B/YDR210C-D/YLR227W-B/YML045W/YMR045C/YAR009C/YJR029W/YGR027W-B/YJR027W/YNL284C-B/YPR137C-B/YPR158C-D/YER138C/YDR261C-D/YJR010W
RNA endonuclease activity	RNA endonuclease activity	83	-0.691354281189691	-2.40253149758426	8.48053915785224e-11	6.65223468646821e-09	6.02302068981828e-09	388	tags=36%, list=6%, signal=34%	YDR034C-D/YGR038C-B/YOR142W-B/YDR261W-B/YOR192C-B/YFL002W-A/YBL100W-B/YMR050C/YDR365W-B/YGR161C-D/YPR158W-B/YER160C/YNL054W-B/YBR012W-B/YNL221C/YBL005W-B/YDR098C-B/YDR210C-D/YLR227W-B/YML045W/YMR045C/YAR009C/YJR029W/YGR027W-B/YJR027W/YNL284C-B/YPR137C-B/YPR158C-D/YER138C/YDR261C-D
aspartate family amino acid metabolic process	aspartate family amino acid metabolic process	53	-0.771313743603038	-2.44104887124033	2.34062785792201e-10	1.78355842773657e-08	1.6148572349092e-08	838	tags=64%, list=14%, signal=56%	YOR241W/YJR016C/YMR009W/YIL094C/YHR025W/YPR118W/YLR027C/YDR034C/YGL154C/YLL058W/YNR050C/YJR148W/YGR124W/YKL106W/YCL064C/YER086W/YGL202W/YJR139C/YDL131W/YHR208W/YDL182W/YDR158W/YPR145W/YGL125W/YER052C/YIR034C/YLR180W/YAL012W/YOL064C/YDR502C/YGL184C/YER091C/YNL277W/YLR303W
endonuclease activity	endonuclease activity	108	-0.641849253295349	-2.33341955939331	2.57439583673597e-10	1.90719824904856e-08	1.72680235364688e-08	637	tags=33%, list=11%, signal=30%	YDR076W/YOL103W-B/YHR214C-B/YCL019W/YBL055C/YDR034C-D/YDL227C/YGR038C-B/YOR142W-B/YDR261W-B/YOR192C-B/YFL002W-A/YBL100W-B/YMR050C/YDR365W-B/YGR161C-D/YPR158W-B/YER160C/YNL054W-B/YBR012W-B/YNL221C/YBL005W-B/YDR098C-B/YDR210C-D/YLR227W-B/YML045W/YMR045C/YAR009C/YJR029W/YGR027W-B/YJR027W/YNL284C-B/YPR137C-B/YPR158C-D/YER138C/YDR261C-D
aspartate family amino acid biosynthetic process	aspartate family amino acid biosynthetic process	47	-0.781895135234773	-2.40591749281647	3.89985086321119e-10	2.8110546627525e-08	2.54516582651677e-08	838	tags=72%, list=14%, signal=63%	YLR355C/YMR108W/YOR241W/YJR016C/YMR009W/YIL094C/YHR025W/YPR118W/YLR027C/YDR034C/YGL154C/YLL058W/YNR050C/YJR148W/YGR124W/YKL106W/YER086W/YGL202W/YJR139C/YDL131W/YHR208W/YDL182W/YDR158W/YPR145W/YGL125W/YER052C/YIR034C/YLR180W/YOL064C/YDR502C/YGL184C/YER091C/YNL277W/YLR303W
oxidative phosphorylation	oxidative phosphorylation	37	0.911586227161804	2.46397015216228	4.46475117759128e-10	3.13355036595683e-08	2.83715767351646e-08	408	tags=84%, list=7%, signal=79%	YHR001W-A/YGL187C/YJL116C/YNL052W/YKL148C/YMR256C/YLR038C/YDR529C/YLL041C/YLR395C/YEL024W/YMR118C/YPL271W/YJL166W/YGL191W/YDR178W/YML120C/YBL045C/YKL141W/YFR033C/YGR183C/YHR051W/YPR191W/YEL039C/YDR298C/YJR121W/YOR065W/YJR048W/YDL067C/YJL045W/YLR164W
energy derivation by oxidation of organic compounds	energy derivation by oxidation of organic compounds	159	0.711783626677676	2.34711579387935	5.42243416577161e-10	3.62444362458495e-08	3.28161887979708e-08	656	tags=49%, list=11%, signal=45%	YIL057C/YHR001W-A/YGL187C/YJL116C/YNL052W/YKL148C/YIL155C/YOR178C/YMR256C/YLR038C/YKL109W/YDR529C/YLL041C/YBL030C/YLR395C/YEL024W/YPL134C/YMR118C/YPL271W/YER054C/YJL166W/YGL191W/YDR178W/YFR017C/YML120C/YBL045C/YKL141W/YFR033C/YER067W/YGR183C/YMR105C/YKL085W/YHR051W/YMR081C/YPR191W/YEL039C/YDR148C/YDL085W/YMR145C/YDR298C/YAL054C/YIL024C/YPR184W/YFL053W/YJR121W/YFR049W/YOR065W/YOR356W/YEL011W/YGR244C/YJR048W/YIL125W/YKL093W/YBR269C/YDL067C/YJR120W/YIL045W/YJR104C/YJL045W/YLR174W/YNR001C/YGL062W/YLR304C/YNL242W/YLR164W/YIL070C/YMR056C/YFL018C/YFR015C/YPR021C/YLL013C/YPR160W/YDL078C/YGL134W/YNL009W/YMR311C/YMR002W/YER156C
RNA nuclease activity	RNA nuclease activity	100	-0.650863987281284	-2.32502161209549	5.4359859386351e-10	3.62444362458495e-08	3.28161887979708e-08	388	tags=30%, list=6%, signal=29%	YDR034C-D/YGR038C-B/YOR142W-B/YDR261W-B/YOR192C-B/YFL002W-A/YBL100W-B/YMR050C/YDR365W-B/YGR161C-D/YPR158W-B/YER160C/YNL054W-B/YBR012W-B/YNL221C/YBL005W-B/YDR098C-B/YDR210C-D/YLR227W-B/YML045W/YMR045C/YAR009C/YJR029W/YGR027W-B/YJR027W/YNL284C-B/YPR137C-B/YPR158C-D/YER138C/YDR261C-D
mitochondrial inner membrane	mitochondrial inner membrane	341	0.591125002563984	2.10379160394243	5.62313642301012e-10	3.65778166833366e-08	3.31180358264062e-08	1224	tags=44%, list=20%, signal=37%	YDR119W-A/YHR001W-A/YGL187C/YNL052W/YKL148C/YIL155C/YMR256C/YLR038C/YGR243W/YPR010C-A/YDR529C/YLL041C/YBL030C/YLR395C/YEL024W/YJR077C/YPL134C/YMR118C/YAL039C/YPL271W/YJL166W/YOL077W-A/YGL191W/YDR178W/YML120C/YML081C-A/YBR039W/YBL045C/YKL141W/YFR033C/YDL004W/YGR174C/YGR183C/YDL174C/YLR295C/YHR051W/YPR191W/YBL099W/YDR377W/YDR322C-A/YPR020W/YDR298C/YKL016C/YCL057C-A/YJR121W/YOR065W/YOR356W/YPL078C/YPL189C-A/YMR110C/YJL062W-A/YNL185C/YER182W/YDL067C/YML009C/YKR016W/YPR061C/YJL045W/YFR011C/YJL063C/YLR164W/YPL183W-A/YNR018W/YDR231C/YGR021W/YLR289W/YMR056C/YDR405W/YPR100W/YPR021C/YBR262C/YLR204W/YJR095W/YHR005C-A/YJR034W/YBL038W/YLR439W/YEL020W-A/YKL133C/YML129C/YKR042W/YLR099C/YNR017W/YDR115W/YMR225C/YKL195W/YLR259C/YML030W/YIL006W/YBL095W/YGL068W/YNR037C/YER141W/YJR135W-A/YKL138C/YMR257C/YGR046W/YLR168C/YHR147C/YNL306W/YGR215W/YPR166C/YNL100W/YDL107W/YPL013C/YDR494W/YNR022C/YJR045C/YGL080W/YBL059C-A/YJR080C/YGR181W/YDR462W/YKL137W/YOR176W/YGR231C/YOR147W/YGR220C/YPR125W/YKL087C/YJL096W/YKR006C/YHR059W/YOR150W/YMR089C/YJR113C/YPL215W/YMR286W/YGR132C/YNL122C/YBR185C/YGR076C/YOR158W/YDR282C/YNR020C/YBL090W/YDR381C-A/YPL118W/YKL003C/YDR347W/YDR316W/YNR036C/YBR282W/YEL050C/YPL173W/YDR116C/YCL044C/YNR045W/YNL252C/YDR322W/YMR302C
sulfate assimilation	sulfate assimilation	12	-0.957290580346695	-2.20814783069471	8.56330515525423e-10	5.43769877358643e-08	4.92336391632912e-08	39	tags=75%, list=1%, signal=75%	YOL064C/YBR213W/YKR069W/YPR167C/YFR030W/YJR137C/YKL001C/YJR010W/YLR303W
