ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	comparison
carbohydrate binding	carbohydrate binding	7/313	33/5859	0.212121212121212	3.97066511762997	4.06520401902409	0.001487947154951	0.0160644833555488	0.0140588262544692	YFR053C/YNR071C/YOR178C/YER054C/YCL040W/YDR516C/YIL024C	7	primary_UP_GO
organic hydroxy compound metabolic process	organic hydroxy compound metabolic process	18/313	156/5859	0.115384615384615	2.15986728926026	3.4879948399931	0.00153651290992406	0.0164900760511493	0.0144312835336852	YEL070W/YNR073C/YIL155C/YHL032C/YKL150W/YDL085W/YDL174C/YGR087C/YPL061W/YAL054C/YJR159W/YMR145C/YDL246C/YPL201C/YOR374W/YFL053W/YMR101C/YMR015C	18	primary_UP_GO
mitochondrial nucleoid	mitochondrial nucleoid	6/313	25/5859	0.24	4.49252396166134	4.15702949752038	0.00165287459998035	0.0174276777997928	0.015251825333152	YBL099W/YDR148C/YFL036W/YIL125W/YER095W/YOR374W	6	primary_UP_GO
nucleoid	nucleoid	6/313	25/5859	0.24	4.49252396166134	4.15702949752038	0.00165287459998035	0.0174276777997928	0.015251825333152	YBL099W/YDR148C/YFL036W/YIL125W/YER095W/YOR374W	6	primary_UP_GO
oligosaccharide metabolic process	oligosaccharide metabolic process	6/313	25/5859	0.24	4.49252396166134	4.15702949752038	0.00165287459998035	0.0174276777997928	0.015251825333152	YGR292W/YBR299W/YMR105C/YLL026W/YOL157C/YIL162W	6	primary_UP_GO
heme binding	heme binding	6/313	26/5859	0.230769230769231	4.31973457852052	4.02996215466997	0.00205382060154958	0.0214048470785775	0.0187324434543525	YDR178W/YGR088W/YOR065W/YEL039C/YJR048W/YMR015C	6	primary_UP_GO
tetrapyrrole binding	tetrapyrrole binding	6/313	26/5859	0.230769230769231	4.31973457852052	4.02996215466997	0.00205382060154958	0.0214048470785775	0.0187324434543525	YDR178W/YGR088W/YOR065W/YEL039C/YJR048W/YMR015C	6	primary_UP_GO
cell wall organization or biogenesis	cell wall organization or biogenesis	25/313	258/5859	0.0968992248062016	1.81384203878446	3.17595328611228	0.0025706173237606	0.0262287566199151	0.0229540859814069	YDL049C/YPR030W/YJL116C/YDL222C/YKL163W/YDR077W/YKL096W-A/YGR282C/YHR139C/YER150W/YOL109W/YKL096W/YFL020C/YEL049W/YOL161C/YNL194C/YLR037C/YLL025W/YOR394W/YMR325W/YHR185C/YBR301W/YGR294W/YOR255W/YLR308W	25	primary_UP_GO
alpha-amylase activity	alpha-amylase activity	3/313	6/5859	0.5	9.3594249201278	4.86653313237464	0.00267670062011336	0.0262287566199151	0.0229540859814069	YGR292W/YBR299W/YOL157C	3	primary_UP_GO
amylase activity	amylase activity	3/313	6/5859	0.5	9.3594249201278	4.86653313237464	0.00267670062011336	0.0262287566199151	0.0229540859814069	YGR292W/YBR299W/YOL157C	3	primary_UP_GO
endopeptidase regulator activity	endopeptidase regulator activity	3/313	6/5859	0.5	9.3594249201278	4.86653313237464	0.00267670062011336	0.0262287566199151	0.0229540859814069	YMR174C/YHR138C/YNL015W	3	primary_UP_GO
glucan 1,4-alpha-maltotriohydrolase activity	glucan 1,4-alpha-maltotriohydrolase activity	3/313	6/5859	0.5	9.3594249201278	4.86653313237464	0.00267670062011336	0.0262287566199151	0.0229540859814069	YGR292W/YBR299W/YOL157C	3	primary_UP_GO
glycogen binding	glycogen binding	3/313	6/5859	0.5	9.3594249201278	4.86653313237464	0.00267670062011336	0.0262287566199151	0.0229540859814069	YOR178C/YER054C/YIL024C	3	primary_UP_GO
maltose catabolic process	maltose catabolic process	3/313	6/5859	0.5	9.3594249201278	4.86653313237464	0.00267670062011336	0.0262287566199151	0.0229540859814069	YGR292W/YBR299W/YOL157C	3	primary_UP_GO
oligo-1,6-glucosidase activity	oligo-1,6-glucosidase activity	3/313	6/5859	0.5	9.3594249201278	4.86653313237464	0.00267670062011336	0.0262287566199151	0.0229540859814069	YGR292W/YBR299W/YOL157C	3	primary_UP_GO
oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor	3/313	6/5859	0.5	9.3594249201278	4.86653313237464	0.00267670062011336	0.0262287566199151	0.0229540859814069	YDR148C/YIL125W/YFR049W	3	primary_UP_GO
polysaccharide binding	polysaccharide binding	3/313	6/5859	0.5	9.3594249201278	4.86653313237464	0.00267670062011336	0.0262287566199151	0.0229540859814069	YOR178C/YER054C/YIL024C	3	primary_UP_GO
regulation of ATP-dependent activity	regulation of ATP-dependent activity	3/313	6/5859	0.5	9.3594249201278	4.86653313237464	0.00267670062011336	0.0262287566199151	0.0229540859814069	YDL181W/YDL130W-A/YCR021C	3	primary_UP_GO
cell differentiation	cell differentiation	15/313	126/5859	0.119047619047619	2.22843450479233	3.31133582771564	0.00274397890410119	0.0267426700761862	0.0234038371393894	YDL222C/YDR516C/YHR139C/YIL024C/YDR155C/YDL079C/YKL096W/YPL130W/YDR218C/YNL194C/YGR059W/YHR185C/YPR192W/YOR255W/YLR308W	15	primary_UP_GO
aldehyde dehydrogenase (NAD+) activity	aldehyde dehydrogenase (NAD+) activity	4/313	12/5859	0.333333333333333	6.23961661341853	4.31599076188993	0.00280951120310752	0.0268018449693273	0.0234556240237158	YMR110C/YPL061W/YKL107W/YOR374W	4	primary_UP_GO
disaccharide catabolic process	disaccharide catabolic process	4/313	12/5859	0.333333333333333	6.23961661341853	4.31599076188993	0.00280951120310752	0.0268018449693273	0.0234556240237158	YGR292W/YBR299W/YOL157C/YIL162W	4	primary_UP_GO
mitochondrial respiratory chain complex III assembly	mitochondrial respiratory chain complex III assembly	4/313	12/5859	0.333333333333333	6.23961661341853	4.31599076188993	0.00280951120310752	0.0268018449693273	0.0234556240237158	YDR529C/YGR174C/YGR183C/YER182W	4	primary_UP_GO
respiratory chain complex III assembly	respiratory chain complex III assembly	4/313	12/5859	0.333333333333333	6.23961661341853	4.31599076188993	0.00280951120310752	0.0268018449693273	0.0234556240237158	YDR529C/YGR174C/YGR183C/YER182W	4	primary_UP_GO
cell periphery	cell periphery	63/313	852/5859	0.073943661971831	1.38414030508932	2.88122914003024	0.00348818175786017	0.0331010089969573	0.0289683349309274	YGR292W/YDR343C/YJL116C/YDL204W/YBL075C/YKL217W/YHR096C/YEL069C/YDL222C/YKL163W/YDR536W/YGR256W/YDR077W/YPL036W/YHR126C/YKL096W-A/YFL011W/YGR282C/YBR298C/YCL040W/YDL223C/YBR021W/YER150W/YML128C/YAL005C/YBR299W/YDR150W/YOL109W/YFL014W/YKL096W/YNR072W/YBL042C/YIR038C/YBR296C/YCR021C/YFL020C/YNR002C/YPL130W/YDR342C/YKL221W/YEL049W/YDR218C/YOL161C/YPL147W/YNL194C/YNL318C/YLR037C/YIL162W/YCL048W-A/YOR214C/YGR059W/YOR348C/YFL051C/YLL025W/YOR394W/YMR325W/YBR301W/YER067W/YPR192W/YBR183W/YGR294W/YDR034W-B/YOR255W	63	primary_UP_GO
aldehyde dehydrogenase [NAD(P)+] activity	aldehyde dehydrogenase [NAD(P)+] activity	4/313	13/5859	0.307692307692308	5.75964610469403	4.08106820662333	0.00388925894436845	0.0363333361486855	0.031797104759249	YMR110C/YPL061W/YKL107W/YOR374W	4	primary_UP_GO
