category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	comparison
Metabolism	Carbohydrate metabolism	sce00020	Citrate cycle (TCA cycle) - Saccharomyces cerevisiae (budding yeast)	11/250	31/2309	0.354838709677419	3.27729032258065	4.44715350920657	0.000226047719898531	0.00111694167479274	0.000685841379258701	YKR097W/YKL148C/YLL041C/YMR118C/YDR178W/YKL085W/YKL141W/YGR244C/YDR148C/YDL066W/YIL125W	11	primary_all
Metabolism	Carbohydrate metabolism	sce00620	Pyruvate metabolism - Saccharomyces cerevisiae (budding yeast)	15/250	52/2309	0.288461538461538	2.66423076923077	4.22872236612118	0.0002415010692992	0.00112700499006293	0.000692020607933381	YKR097W/YEL071W/YKL085W/YNL104C/YBL015W/YMR110C/YDL174C/YPL061W/YDL131W/YAL054C/YBR145W/YER073W/YDL182W/YOR374W/YNL117W	15	primary_all
Metabolism	Carbohydrate metabolism	sce00010	Glycolysis / Gluconeogenesis - Saccharomyces cerevisiae (budding yeast)	14/250	54/2309	0.259259259259259	2.39451851851852	3.61249808821878	0.00126956579875789	0.00561281721556121	0.00344646671130952	YLR134W/YFR053C/YKR097W/YCL040W/YDR516C/YMR110C/YGR087C/YPL061W/YAL054C/YBR145W/YKL127W/YMR105C/YER073W/YOR374W	14	primary_all
Metabolism	Carbohydrate metabolism	sce00051	Fructose and mannose metabolism - Saccharomyces cerevisiae (budding yeast)	8/250	23/2309	0.347826086956522	3.21252173913043	3.71512204085436	0.00194136880099534	0.00815374896418042	0.00500668796046166	YEL070W/YNR073C/YFR053C/YCL040W/YDR516C/YJR159W/YDL246C/YFL053W	8	primary_all
Metabolism	Amino acid metabolism	sce00280	Valine, leucine and isoleucine degradation - Saccharomyces cerevisiae (budding yeast)	6/250	14/2309	0.428571428571429	3.95828571428571	3.86787582056829	0.00215092759838212	0.00860371039352848	0.0052829800662017	YMR110C/YPL061W/YHR208W/YIL160C/YER073W/YOR374W	6	primary_all
Metabolism	Carbohydrate metabolism	sce00630	Glyoxylate and dicarboxylate metabolism - Saccharomyces cerevisiae (budding yeast)	9/250	29/2309	0.310344827586207	2.86634482758621	3.52357237301115	0.00251855287490485	0.00961629279509126	0.00590474118996832	YDR019C/YMR189W/YLR058C/YKL085W/YGR088W/YAL054C/YAL044C/YNL117W/YOR388C	9	primary_all
Metabolism	Amino acid metabolism	sce00310	Lysine degradation - Saccharomyces cerevisiae (budding yeast)	6/250	16/2309	0.375	3.4635	3.44484958582802	0.00475641081429777	0.0173712394956962	0.0106665505675328	YIR034C/YMR110C/YPL061W/YDR148C/YER073W/YOR374W	6	primary_all
Metabolism	Metabolism of other amino acids	sce00450	Selenocompound metabolism - Saccharomyces cerevisiae (budding yeast)	5/250	12/2309	0.416666666666667	3.84833333333333	3.4463602380793	0.00596833005002572	0.0200535889680864	0.0123136072611057	YJR010W/YER091C/YGL184C/YAL012W/YJR130C	5	primary_all
Metabolism	Metabolism of cofactors and vitamins	sce00785	Lipoic acid metabolism - Saccharomyces cerevisiae (budding yeast)	5/250	12/2309	0.416666666666667	3.84833333333333	3.4463602380793	0.00596833005002572	0.0200535889680864	0.0123136072611057	YDR019C/YMR189W/YDR148C/YIL125W/YAL044C	5	primary_all
Metabolism	Metabolism of cofactors and vitamins	sce00730	Thiamine metabolism - Saccharomyces cerevisiae (budding yeast)	6/250	18/2309	0.333333333333333	3.07866666666667	3.08438294486756	0.00915118720230521	0.0295653740382168	0.0181541770410103	YGR144W/YBR092C/YPL214C/YOL055C/YOR143C/YPL258C	6	primary_all
Metabolism	Lipid metabolism	sce00071	Fatty acid degradation - Saccharomyces cerevisiae (budding yeast)	6/250	20/2309	0.3	2.7708	2.77090316085883	0.0158716789224731	0.049378556647694	0.0303201663626191	YMR110C/YPL061W/YBR145W/YIL160C/YER073W/YOR374W	6	primary_all
