term	term_name	gene	aspect
GO:0005739	mitochondrion	YAL001C	slim
GO:0043226	organelle	YAL001C	slim
GO:0032991	protein-containing complex	YAL001C	slim
GO:0000127	transcription factor TFIIIC complex	YAL001C	slim
GO:0005667	transcription regulator complex	YAL001C	slim
GO:0003677	DNA binding	YAL001C	slim
GO:0006351	DNA-templated transcription	YAL001C	slim
GO:0009058	biosynthetic process	YAL001C	slim
GO:0006383	transcription by RNA polymerase III	YAL001C	slim
GO:0033263	CORVET complex	YAL002W	slim
GO:0031410	cytoplasmic vesicle	YAL002W	slim
GO:0005768	endosome	YAL002W	slim
GO:0016020	membrane	YAL002W	slim
GO:0043226	organelle	YAL002W	slim
GO:0032991	protein-containing complex	YAL002W	slim
GO:0019899	enzyme binding	YAL002W	slim
GO:0043167	ion binding	YAL002W	slim
GO:0030674	protein-macromolecule adaptor activity	YAL002W	slim
GO:0016197	endosomal transport	YAL002W	slim
GO:0061024	membrane organization	YAL002W	slim
GO:0007009	plasma membrane organization	YAL002W	slim
GO:0006605	protein targeting	YAL002W	slim
GO:0006810	transport	YAL002W	slim
GO:0007034	vacuolar transport	YAL002W	slim
GO:0016192	vesicle-mediated transport	YAL002W	slim
GO:0005853	eukaryotic translation elongation factor 1 complex	YAL003W	slim
GO:0032991	protein-containing complex	YAL003W	slim
GO:0030234	enzyme regulator activity	YAL003W	slim
GO:0005085	guanyl-nucleotide exchange factor activity	YAL003W	slim
GO:0009058	biosynthetic process	YAL003W	slim
GO:0033043	regulation of organelle organization	YAL003W	slim
GO:0006417	regulation of translation	YAL003W	slim
GO:0006414	translational elongation	YAL003W	slim
GO:0005575	cellular component	YAL004W	slim
GO:0003674	molecular function	YAL004W	slim
GO:0008150	biological process	YAL004W	slim
GO:0005618	cell wall	YAL005C	slim
GO:0005737	cytoplasm	YAL005C	slim
GO:0005829	cytosol	YAL005C	slim
GO:0030312	external encapsulating structure	YAL005C	slim
GO:0016020	membrane	YAL005C	slim
GO:0005634	nucleus	YAL005C	slim
GO:0043226	organelle	YAL005C	slim
GO:0005886	plasma membrane	YAL005C	slim
GO:0016887	ATP hydrolysis activity	YAL005C	slim
GO:0003723	RNA binding	YAL005C	slim
GO:0016787	hydrolase activity	YAL005C	slim
GO:0009058	biosynthetic process	YAL005C	slim
GO:0009056	catabolic process	YAL005C	slim
GO:0002181	cytoplasmic translation	YAL005C	slim
GO:0051169	nuclear transport	YAL005C	slim
GO:0006913	nucleocytoplasmic transport	YAL005C	slim
GO:0030163	protein catabolic process	YAL005C	slim
GO:0006457	protein folding	YAL005C	slim
GO:0070647	protein modification by small protein conjugation or removal	YAL005C	slim
GO:0009408	response to heat	YAL005C	slim
GO:0006950	response to stress	YAL005C	slim
GO:0006412	translation	YAL005C	slim
GO:0055085	transmembrane transport	YAL005C	slim
GO:0006810	transport	YAL005C	slim
GO:0031410	cytoplasmic vesicle	YAL007C	slim
GO:0005783	endoplasmic reticulum	YAL007C	slim
GO:0043226	organelle	YAL007C	slim
GO:0003674	molecular function	YAL007C	slim
GO:0048193	Golgi vesicle transport	YAL007C	slim
GO:0006810	transport	YAL007C	slim
GO:0016192	vesicle-mediated transport	YAL007C	slim
GO:0016020	membrane	YAL008W	slim
GO:0005739	mitochondrion	YAL008W	slim
GO:0043226	organelle	YAL008W	slim
GO:0003674	molecular function	YAL008W	slim
GO:0042592	homeostatic process	YAL008W	slim
GO:0007005	mitochondrion organization	YAL008W	slim
GO:0071595	Nem1-Spo7 phosphatase complex	YAL009W	slim
GO:0005783	endoplasmic reticulum	YAL009W	slim
GO:0016020	membrane	YAL009W	slim
GO:0043226	organelle	YAL009W	slim
GO:0032991	protein-containing complex	YAL009W	slim
GO:0016787	hydrolase activity	YAL009W	slim
GO:0016791	phosphatase activity	YAL009W	slim
GO:0009056	catabolic process	YAL009W	slim
GO:0061024	membrane organization	YAL009W	slim
GO:0032865	ERMES complex	YAL010C	slim
GO:0001401	SAM complex	YAL010C	slim
GO:0016020	membrane	YAL010C	slim
GO:0005742	mitochondrial outer membrane translocase complex	YAL010C	slim
GO:0032991	protein-containing complex	YAL010C	slim
GO:0003674	molecular function	YAL010C	slim
GO:0022607	cellular component assembly	YAL010C	slim
GO:0006869	lipid transport	YAL010C	slim
GO:0061024	membrane organization	YAL010C	slim
GO:0007005	mitochondrion organization	YAL010C	slim
GO:0007031	peroxisome organization	YAL010C	slim
GO:0065003	protein-containing complex assembly	YAL010C	slim
GO:0006810	transport	YAL010C	slim
GO:0000812	Swr1 complex	YAL011W	slim
GO:0000118	histone deacetylase complex	YAL011W	slim
GO:0005739	mitochondrion	YAL011W	slim
GO:0005634	nucleus	YAL011W	slim
GO:0043226	organelle	YAL011W	slim
GO:0032991	protein-containing complex	YAL011W	slim
GO:0003677	DNA binding	YAL011W	slim
GO:0003682	chromatin binding	YAL011W	slim
GO:0006325	chromatin organization	YAL011W	slim
GO:0005737	cytoplasm	YAL012W	slim
GO:0005829	cytosol	YAL012W	slim
GO:0005634	nucleus	YAL012W	slim
GO:0043226	organelle	YAL012W	slim
GO:0016829	lyase activity	YAL012W	slim
GO:0006520	amino acid metabolic process	YAL012W	slim
GO:0009058	biosynthetic process	YAL012W	slim
GO:0009056	catabolic process	YAL012W	slim
GO:0044281	small molecule metabolic process	YAL012W	slim
GO:0006790	sulfur compound metabolic process	YAL012W	slim
GO:0033698	Rpd3L complex	YAL013W	slim
GO:0070210	Rpd3L-Expanded complex	YAL013W	slim
GO:0070822	Sin3-type complex	YAL013W	slim
GO:0000118	histone deacetylase complex	YAL013W	slim
GO:0005739	mitochondrion	YAL013W	slim
GO:0005634	nucleus	YAL013W	slim
GO:0043226	organelle	YAL013W	slim
GO:0032991	protein-containing complex	YAL013W	slim
GO:0003674	molecular function	YAL013W	slim
GO:0051052	regulation of DNA metabolic process	YAL013W	slim
GO:0009408	response to heat	YAL013W	slim
GO:0006950	response to stress	YAL013W	slim
GO:0031410	cytoplasmic vesicle	YAL014C	slim
GO:0005768	endosome	YAL014C	slim
GO:0043226	organelle	YAL014C	slim
GO:0030674	protein-macromolecule adaptor activity	YAL014C	slim
GO:0048193	Golgi vesicle transport	YAL014C	slim
GO:0006810	transport	YAL014C	slim
GO:0007034	vacuolar transport	YAL014C	slim
GO:0016192	vesicle-mediated transport	YAL014C	slim
GO:0005739	mitochondrion	YAL015C	slim
GO:0005634	nucleus	YAL015C	slim
GO:0043226	organelle	YAL015C	slim
GO:0016787	hydrolase activity	YAL015C	slim
GO:0016798	hydrolase activity, acting on glycosyl bonds	YAL015C	slim
GO:0004518	nuclease activity	YAL015C	slim
GO:0006974	DNA damage response	YAL015C	slim
GO:0006259	DNA metabolic process	YAL015C	slim
GO:0006281	DNA repair	YAL015C	slim
GO:0051052	regulation of DNA metabolic process	YAL015C	slim
GO:0033043	regulation of organelle organization	YAL015C	slim
GO:0042221	response to chemical	YAL015C	slim
GO:0006979	response to oxidative stress	YAL015C	slim
GO:0006950	response to stress	YAL015C	slim
GO:0005575	cellular component	YAL016C-A	slim
GO:0003674	molecular function	YAL016C-A	slim
GO:0008150	biological process	YAL016C-A	slim
GO:0005575	cellular component	YAL016C-B	slim
GO:0003674	molecular function	YAL016C-B	slim
GO:0008150	biological process	YAL016C-B	slim
GO:0005737	cytoplasm	YAL016W	slim
GO:0005815	microtubule organizing center	YAL016W	slim
GO:0005634	nucleus	YAL016W	slim
GO:0043226	organelle	YAL016W	slim
GO:0000159	protein phosphatase type 2A complex	YAL016W	slim
GO:0032991	protein-containing complex	YAL016W	slim
GO:0030427	site of polarized growth	YAL016W	slim
GO:0005816	spindle pole body	YAL016W	slim
GO:0016787	hydrolase activity	YAL016W	slim
GO:0016791	phosphatase activity	YAL016W	slim
GO:0051726	regulation of cell cycle	YAL016W	slim
GO:0033043	regulation of organelle organization	YAL016W	slim
GO:0006417	regulation of translation	YAL016W	slim
GO:0007165	signal transduction	YAL016W	slim
GO:0005737	cytoplasm	YAL017W	slim
GO:0016301	kinase activity	YAL017W	slim
GO:0016740	transferase activity	YAL017W	slim
GO:0008150	biological process	YAL017W	slim
GO:0005618	cell wall	YAL018C	slim
GO:0030312	external encapsulating structure	YAL018C	slim
GO:0043232	intracellular membraneless organelle	YAL018C	slim
GO:0005811	lipid droplet	YAL018C	slim
GO:0016020	membrane	YAL018C	slim
GO:0043226	organelle	YAL018C	slim
GO:0003674	molecular function	YAL018C	slim
GO:0048646	anatomical structure formation involved in morphogenesis	YAL018C	slim
GO:0071554	cell wall organization or biogenesis	YAL018C	slim
GO:0022607	cellular component assembly	YAL018C	slim
GO:0000785	chromatin	YAL019W	slim
GO:0000775	chromosome, centromeric region	YAL019W	slim
GO:0031934	mating-type region heterochromatin	YAL019W	slim
GO:0005739	mitochondrion	YAL019W	slim
GO:0005634	nucleus	YAL019W	slim
GO:0043226	organelle	YAL019W	slim
GO:0003677	DNA binding	YAL019W	slim
GO:0003682	chromatin binding	YAL019W	slim
GO:0006974	DNA damage response	YAL019W	slim
GO:0006259	DNA metabolic process	YAL019W	slim
GO:0006281	DNA repair	YAL019W	slim
GO:0022607	cellular component assembly	YAL019W	slim
GO:0006325	chromatin organization	YAL019W	slim
GO:0006950	response to stress	YAL019W	slim
GO:0005575	cellular component	YAL019W-A	slim
GO:0003674	molecular function	YAL019W-A	slim
GO:0008150	biological process	YAL019W-A	slim
GO:0005737	cytoplasm	YAL020C	slim
GO:0003674	molecular function	YAL020C	slim
GO:0009451	RNA modification	YAL020C	slim
GO:0006399	tRNA metabolic process	YAL020C	slim
GO:0008033	tRNA processing	YAL020C	slim
GO:0030015	CCR4-NOT core complex	YAL021C	slim
GO:0016593	Cdc73/Paf1 complex	YAL021C	slim
GO:0000932	P-body	YAL021C	slim
GO:0005737	cytoplasm	YAL021C	slim
GO:0043232	intracellular membraneless organelle	YAL021C	slim
GO:0043226	organelle	YAL021C	slim
GO:0032991	protein-containing complex	YAL021C	slim
GO:0008023	transcription elongation factor complex	YAL021C	slim
GO:0016787	hydrolase activity	YAL021C	slim
GO:0004518	nuclease activity	YAL021C	slim
GO:0006259	DNA metabolic process	YAL021C	slim
GO:0006260	DNA replication	YAL021C	slim
GO:0006354	DNA-templated transcription elongation	YAL021C	slim
GO:0006401	RNA catabolic process	YAL021C	slim
GO:0009058	biosynthetic process	YAL021C	slim
GO:0009056	catabolic process	YAL021C	slim
GO:0034655	nucleobase-containing compound catabolic process	YAL021C	slim
GO:0051726	regulation of cell cycle	YAL021C	slim
GO:0007165	signal transduction	YAL021C	slim
GO:0016020	membrane	YAL022C	slim
GO:0022857	transmembrane transporter activity	YAL022C	slim
GO:0015931	nucleobase-containing compound transport	YAL022C	slim
GO:0055085	transmembrane transport	YAL022C	slim
GO:0006810	transport	YAL022C	slim
GO:0097582	dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex	YAL023C	slim
GO:0097584	dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt2p dimer complex	YAL023C	slim
GO:0031502	dolichyl-phosphate-mannose-protein mannosyltransferase complex	YAL023C	slim
GO:0005783	endoplasmic reticulum	YAL023C	slim
GO:0031501	mannosyltransferase complex	YAL023C	slim
GO:0043226	organelle	YAL023C	slim
GO:0032991	protein-containing complex	YAL023C	slim
GO:0016757	glycosyltransferase activity	YAL023C	slim
GO:0016740	transferase activity	YAL023C	slim
GO:0009058	biosynthetic process	YAL023C	slim
GO:0009056	catabolic process	YAL023C	slim
GO:0030163	protein catabolic process	YAL023C	slim
GO:0042221	response to chemical	YAL023C	slim
GO:0006950	response to stress	YAL023C	slim
GO:0005933	cellular bud	YAL024C	slim
GO:0030234	enzyme regulator activity	YAL024C	slim
GO:0005085	guanyl-nucleotide exchange factor activity	YAL024C	slim
GO:0051726	regulation of cell cycle	YAL024C	slim
GO:0007165	signal transduction	YAL024C	slim
GO:0006810	transport	YAL024C	slim
GO:0016192	vesicle-mediated transport	YAL024C	slim
GO:0043232	intracellular membraneless organelle	YAL025C	slim
GO:0005730	nucleolus	YAL025C	slim
GO:0043226	organelle	YAL025C	slim
GO:0030684	preribosome	YAL025C	slim
GO:0030687	preribosome, large subunit precursor	YAL025C	slim
GO:0032991	protein-containing complex	YAL025C	slim
GO:1990904	ribonucleoprotein complex	YAL025C	slim
GO:0003674	molecular function	YAL025C	slim
GO:0006364	rRNA processing	YAL025C	slim
GO:0042273	ribosomal large subunit biogenesis	YAL025C	slim
GO:1990530	Cdc50p-Drs2p complex	YAL026C	slim
GO:0005783	endoplasmic reticulum	YAL026C	slim
GO:0043226	organelle	YAL026C	slim
GO:1990531	phospholipid-translocating ATPase complex	YAL026C	slim
GO:0032991	protein-containing complex	YAL026C	slim
GO:0003674	molecular function	YAL026C	slim
GO:0048193	Golgi vesicle transport	YAL026C	slim
GO:0006897	endocytosis	YAL026C	slim
GO:0016197	endosomal transport	YAL026C	slim
GO:0006869	lipid transport	YAL026C	slim
GO:0061024	membrane organization	YAL026C	slim
GO:0006810	transport	YAL026C	slim
GO:0016192	vesicle-mediated transport	YAL026C	slim
GO:0005575	cellular component	YAL026C-A	slim
GO:0003674	molecular function	YAL026C-A	slim
GO:0008150	biological process	YAL026C-A	slim
GO:0005634	nucleus	YAL027W	slim
GO:0043226	organelle	YAL027W	slim
GO:0003677	DNA binding	YAL027W	slim
GO:0006259	DNA metabolic process	YAL027W	slim
GO:0005783	endoplasmic reticulum	YAL028W	slim
GO:0043226	organelle	YAL028W	slim
GO:0003674	molecular function	YAL028W	slim
GO:0042221	response to chemical	YAL028W	slim
GO:0006970	response to osmotic stress	YAL028W	slim
GO:0006950	response to stress	YAL028W	slim
GO:0055085	transmembrane transport	YAL028W	slim
GO:0006810	transport	YAL028W	slim
GO:0005933	cellular bud	YAL029C	slim
GO:0031941	filamentous actin	YAL029C	slim
GO:0005739	mitochondrion	YAL029C	slim
GO:0043226	organelle	YAL029C	slim
GO:0032991	protein-containing complex	YAL029C	slim
GO:0030427	site of polarized growth	YAL029C	slim
GO:0008092	cytoskeletal protein binding	YAL029C	slim
GO:0016853	isomerase activity	YAL029C	slim
GO:0048308	organelle inheritance	YAL029C	slim
GO:0031201	SNARE complex	YAL030W	slim
GO:0005933	cellular bud	YAL030W	slim
GO:0031410	cytoplasmic vesicle	YAL030W	slim
GO:0005768	endosome	YAL030W	slim
GO:0016020	membrane	YAL030W	slim
GO:0043226	organelle	YAL030W	slim
GO:0005886	plasma membrane	YAL030W	slim
GO:0032991	protein-containing complex	YAL030W	slim
GO:0030427	site of polarized growth	YAL030W	slim
GO:0030674	protein-macromolecule adaptor activity	YAL030W	slim
GO:0048193	Golgi vesicle transport	YAL030W	slim
GO:0006897	endocytosis	YAL030W	slim
GO:0006887	exocytosis	YAL030W	slim
GO:0061025	membrane fusion	YAL030W	slim
GO:0061024	membrane organization	YAL030W	slim
GO:0048284	organelle fusion	YAL030W	slim
GO:0006810	transport	YAL030W	slim
GO:0016050	vesicle organization	YAL030W	slim
GO:0016192	vesicle-mediated transport	YAL030W	slim
GO:0005737	cytoplasm	YAL031C	slim
GO:0019899	enzyme binding	YAL031C	slim
GO:0030234	enzyme regulator activity	YAL031C	slim
GO:0007059	chromosome segregation	YAL031C	slim
GO:0005575	cellular component	YAL031W-A	slim
GO:0003674	molecular function	YAL031W-A	slim
GO:0008150	biological process	YAL031W-A	slim
GO:0071006	U2-type catalytic step 1 spliceosome	YAL032C	slim
GO:0071007	U2-type catalytic step 2 spliceosome	YAL032C	slim
GO:0005684	U2-type spliceosomal complex	YAL032C	slim
GO:0005634	nucleus	YAL032C	slim
GO:0043226	organelle	YAL032C	slim
GO:0071014	post-mRNA release spliceosomal complex	YAL032C	slim
GO:0032991	protein-containing complex	YAL032C	slim
GO:1990904	ribonucleoprotein complex	YAL032C	slim
GO:0005681	spliceosomal complex	YAL032C	slim
GO:0003674	molecular function	YAL032C	slim
GO:0022607	cellular component assembly	YAL032C	slim
GO:0022618	protein-RNA complex assembly	YAL032C	slim
GO:0065003	protein-containing complex assembly	YAL032C	slim
GO:0005655	nucleolar ribonuclease P complex	YAL033W	slim
GO:0032991	protein-containing complex	YAL033W	slim
GO:0000172	ribonuclease MRP complex	YAL033W	slim
GO:0030677	ribonuclease P complex	YAL033W	slim
GO:1990904	ribonucleoprotein complex	YAL033W	slim
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	YAL033W	slim
GO:0003723	RNA binding	YAL033W	slim
GO:0016787	hydrolase activity	YAL033W	slim
GO:0004518	nuclease activity	YAL033W	slim
GO:0006401	RNA catabolic process	YAL033W	slim
GO:0009056	catabolic process	YAL033W	slim
GO:0034655	nucleobase-containing compound catabolic process	YAL033W	slim
GO:0006364	rRNA processing	YAL033W	slim
GO:0043144	sno(s)RNA processing	YAL033W	slim
GO:0006399	tRNA metabolic process	YAL033W	slim
GO:0008033	tRNA processing	YAL033W	slim
GO:0005575	cellular component	YAL034C	slim
GO:0003674	molecular function	YAL034C	slim
GO:0008150	biological process	YAL034C	slim
GO:0005575	cellular component	YAL034C-B	slim
GO:0003674	molecular function	YAL034C-B	slim
GO:0008150	biological process	YAL034C-B	slim
GO:0000444	MIS12/MIND type complex	YAL034W-A	slim
GO:0000940	outer kinetochore	YAL034W-A	slim
GO:0032991	protein-containing complex	YAL034W-A	slim
GO:0000922	spindle pole	YAL034W-A	slim
GO:0003674	molecular function	YAL034W-A	slim
GO:0007059	chromosome segregation	YAL034W-A	slim
GO:0005737	cytoplasm	YAL035W	slim
GO:0010494	cytoplasmic stress granule	YAL035W	slim
GO:0005829	cytosol	YAL035W	slim
GO:0022627	cytosolic small ribosomal subunit	YAL035W	slim
GO:0033290	eukaryotic 48S preinitiation complex	YAL035W	slim
GO:0043232	intracellular membraneless organelle	YAL035W	slim
GO:0005739	mitochondrion	YAL035W	slim
GO:0043226	organelle	YAL035W	slim
GO:0032991	protein-containing complex	YAL035W	slim
GO:1990904	ribonucleoprotein complex	YAL035W	slim
GO:0015935	small ribosomal subunit	YAL035W	slim
GO:0003924	GTPase activity	YAL035W	slim
GO:0003723	RNA binding	YAL035W	slim
GO:0016787	hydrolase activity	YAL035W	slim
GO:0043167	ion binding	YAL035W	slim
GO:0019843	rRNA binding	YAL035W	slim
GO:0022607	cellular component assembly	YAL035W	slim
GO:0070925	organelle assembly	YAL035W	slim
GO:0022618	protein-RNA complex assembly	YAL035W	slim
GO:0065003	protein-containing complex assembly	YAL035W	slim
GO:0006364	rRNA processing	YAL035W	slim
GO:0006417	regulation of translation	YAL035W	slim
GO:0042255	ribosome assembly	YAL035W	slim
GO:0005737	cytoplasm	YAL036C	slim
GO:0010494	cytoplasmic stress granule	YAL036C	slim
GO:0043232	intracellular membraneless organelle	YAL036C	slim
GO:0043226	organelle	YAL036C	slim
GO:0005777	peroxisome	YAL036C	slim
GO:0043167	ion binding	YAL036C	slim
GO:0009058	biosynthetic process	YAL036C	slim
GO:0002181	cytoplasmic translation	YAL036C	slim
GO:0042594	response to starvation	YAL036C	slim
GO:0006950	response to stress	YAL036C	slim
GO:0006412	translation	YAL036C	slim
GO:0005575	cellular component	YAL037C-A	slim
GO:0003674	molecular function	YAL037C-A	slim
GO:0008150	biological process	YAL037C-A	slim
GO:0005575	cellular component	YAL037C-B	slim
GO:0003674	molecular function	YAL037C-B	slim
GO:0008150	biological process	YAL037C-B	slim
GO:0005575	cellular component	YAL037W	slim
GO:0003674	molecular function	YAL037W	slim
GO:0008150	biological process	YAL037W	slim
GO:0005737	cytoplasm	YAL038W	slim
GO:0005829	cytosol	YAL038W	slim
GO:0016020	membrane	YAL038W	slim
GO:0005886	plasma membrane	YAL038W	slim
GO:0016740	transferase activity	YAL038W	slim
GO:0005975	carbohydrate metabolic process	YAL038W	slim
GO:0009056	catabolic process	YAL038W	slim
GO:0006091	generation of precursor metabolites and energy	YAL038W	slim
GO:0032787	monocarboxylic acid metabolic process	YAL038W	slim
GO:0034655	nucleobase-containing compound catabolic process	YAL038W	slim
GO:0055086	nucleobase-containing small molecule metabolic process	YAL038W	slim
GO:0044281	small molecule metabolic process	YAL038W	slim
GO:0005739	mitochondrion	YAL039C	slim
GO:0043226	organelle	YAL039C	slim
GO:0016829	lyase activity	YAL039C	slim
GO:0022607	cellular component assembly	YAL039C	slim
GO:0051604	protein maturation	YAL039C	slim
GO:0065003	protein-containing complex assembly	YAL039C	slim
GO:0005634	nucleus	YAL040C	slim
GO:0043226	organelle	YAL040C	slim
GO:0030234	enzyme regulator activity	YAL040C	slim
GO:0048284	organelle fusion	YAL040C	slim
GO:0051726	regulation of cell cycle	YAL040C	slim
GO:0007033	vacuole organization	YAL040C	slim
GO:0120171	Cdc24p-Far1p-Gbetagamma complex	YAL041W	slim
GO:0005737	cytoplasm	YAL041W	slim
GO:0000131	incipient cellular bud site	YAL041W	slim
GO:0005634	nucleus	YAL041W	slim
GO:0043226	organelle	YAL041W	slim
GO:0032991	protein-containing complex	YAL041W	slim
GO:0030427	site of polarized growth	YAL041W	slim
GO:0030234	enzyme regulator activity	YAL041W	slim
GO:0005085	guanyl-nucleotide exchange factor activity	YAL041W	slim
GO:0007010	cytoskeleton organization	YAL041W	slim
GO:0051726	regulation of cell cycle	YAL041W	slim
GO:0042221	response to chemical	YAL041W	slim
GO:0007165	signal transduction	YAL041W	slim
GO:0005575	cellular component	YAL042C-A	slim
GO:0003674	molecular function	YAL042C-A	slim
GO:0008150	biological process	YAL042C-A	slim
GO:0031410	cytoplasmic vesicle	YAL042W	slim
GO:0005783	endoplasmic reticulum	YAL042W	slim
GO:0016020	membrane	YAL042W	slim
GO:0043226	organelle	YAL042W	slim
GO:0032991	protein-containing complex	YAL042W	slim
GO:0061852	retrograde cargo receptor complex, Golgi to ER	YAL042W	slim
GO:0003674	molecular function	YAL042W	slim
GO:0048193	Golgi vesicle transport	YAL042W	slim
GO:0006810	transport	YAL042W	slim
GO:0016192	vesicle-mediated transport	YAL042W	slim
GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	YAL043C	slim
GO:0005849	mRNA cleavage factor complex	YAL043C	slim
GO:0032991	protein-containing complex	YAL043C	slim
GO:0003723	RNA binding	YAL043C	slim
GO:0006353	DNA-templated transcription termination	YAL043C	slim
GO:0009058	biosynthetic process	YAL043C	slim
GO:0006399	tRNA metabolic process	YAL043C	slim
GO:0008033	tRNA processing	YAL043C	slim
GO:0005960	glycine cleavage complex	YAL044C	slim
GO:0005739	mitochondrion	YAL044C	slim
GO:0043226	organelle	YAL044C	slim
GO:0032991	protein-containing complex	YAL044C	slim
GO:0043167	ion binding	YAL044C	slim
GO:0008289	lipid binding	YAL044C	slim
GO:0006520	amino acid metabolic process	YAL044C	slim
GO:0009056	catabolic process	YAL044C	slim
GO:0051604	protein maturation	YAL044C	slim
GO:0044281	small molecule metabolic process	YAL044C	slim
GO:0005575	cellular component	YAL044W-A	slim
GO:0003674	molecular function	YAL044W-A	slim
GO:0022607	cellular component assembly	YAL044W-A	slim
GO:0051604	protein maturation	YAL044W-A	slim
GO:0005575	cellular component	YAL045C	slim
GO:0003674	molecular function	YAL045C	slim
GO:0008150	biological process	YAL045C	slim
GO:0005575	cellular component	YAL046C	slim
GO:0003674	molecular function	YAL046C	slim
GO:0051604	protein maturation	YAL046C	slim
GO:0005874	microtubule	YAL047C	slim
GO:0005815	microtubule organizing center	YAL047C	slim
GO:0005824	outer plaque of spindle pole body	YAL047C	slim
GO:0005876	spindle microtubule	YAL047C	slim
GO:0005816	spindle pole body	YAL047C	slim
GO:0008092	cytoskeletal protein binding	YAL047C	slim
GO:0007010	cytoskeleton organization	YAL047C	slim
GO:0051726	regulation of cell cycle	YAL047C	slim
GO:0007165	signal transduction	YAL047C	slim
GO:0005575	cellular component	YAL047W-A	slim
GO:0003674	molecular function	YAL047W-A	slim
GO:0008150	biological process	YAL047W-A	slim
GO:0032865	ERMES complex	YAL048C	slim
GO:0016020	membrane	YAL048C	slim
GO:0005739	mitochondrion	YAL048C	slim
GO:0043226	organelle	YAL048C	slim
GO:0032991	protein-containing complex	YAL048C	slim
GO:0003924	GTPase activity	YAL048C	slim
GO:0016787	hydrolase activity	YAL048C	slim
GO:0043167	ion binding	YAL048C	slim
GO:0042592	homeostatic process	YAL048C	slim
GO:0006811	monoatomic ion transport	YAL048C	slim
GO:0048308	organelle inheritance	YAL048C	slim
GO:0033043	regulation of organelle organization	YAL048C	slim
GO:0006810	transport	YAL048C	slim
GO:0005737	cytoplasm	YAL049C	slim
GO:0003674	molecular function	YAL049C	slim
GO:0008150	biological process	YAL049C	slim
GO:0089716	Pip2-Oaf1 complex	YAL051W	slim
GO:0090575	RNA polymerase II transcription regulator complex	YAL051W	slim
GO:0032991	protein-containing complex	YAL051W	slim
GO:0005667	transcription regulator complex	YAL051W	slim
GO:0003677	DNA binding	YAL051W	slim
GO:0003700	DNA-binding transcription factor activity	YAL051W	slim
GO:0043167	ion binding	YAL051W	slim
GO:0042221	response to chemical	YAL051W	slim
GO:0005737	cytoplasm	YAL053W	slim
GO:0005783	endoplasmic reticulum	YAL053W	slim
GO:0043226	organelle	YAL053W	slim
GO:0022857	transmembrane transporter activity	YAL053W	slim
GO:0009058	biosynthetic process	YAL053W	slim
GO:0071554	cell wall organization or biogenesis	YAL053W	slim
GO:0042592	homeostatic process	YAL053W	slim
GO:0006629	lipid metabolic process	YAL053W	slim
GO:0015931	nucleobase-containing compound transport	YAL053W	slim
GO:0006457	protein folding	YAL053W	slim
GO:0042221	response to chemical	YAL053W	slim
GO:0006970	response to osmotic stress	YAL053W	slim
GO:0006950	response to stress	YAL053W	slim
GO:0055085	transmembrane transport	YAL053W	slim
GO:0006810	transport	YAL053W	slim
GO:0005829	cytosol	YAL054C	slim
GO:0005739	mitochondrion	YAL054C	slim
GO:0043226	organelle	YAL054C	slim
GO:0016874	ligase activity	YAL054C	slim
GO:0009058	biosynthetic process	YAL054C	slim
GO:0009056	catabolic process	YAL054C	slim
GO:0006091	generation of precursor metabolites and energy	YAL054C	slim
GO:0032787	monocarboxylic acid metabolic process	YAL054C	slim
GO:0055086	nucleobase-containing small molecule metabolic process	YAL054C	slim
GO:0044281	small molecule metabolic process	YAL054C	slim
GO:0006790	sulfur compound metabolic process	YAL054C	slim
GO:0005737	cytoplasm	YAL055W	slim
GO:0030234	enzyme regulator activity	YAL055W	slim
GO:0008150	biological process	YAL055W	slim
GO:0005575	cellular component	YAL056C-A	slim
GO:0003674	molecular function	YAL056C-A	slim
GO:0008150	biological process	YAL056C-A	slim
GO:0005737	cytoplasm	YAL056W	slim
GO:0016020	membrane	YAL056W	slim
GO:0005739	mitochondrion	YAL056W	slim
GO:0043226	organelle	YAL056W	slim
GO:0005886	plasma membrane	YAL056W	slim
GO:0030234	enzyme regulator activity	YAL056W	slim
GO:0048856	anatomical structure development	YAL056W	slim
GO:0048646	anatomical structure formation involved in morphogenesis	YAL056W	slim
GO:0040007	growth	YAL056W	slim
GO:0001403	invasive growth in response to glucose limitation	YAL056W	slim
GO:0007124	pseudohyphal growth	YAL056W	slim
GO:0007165	signal transduction	YAL056W	slim
GO:0043934	sporulation	YAL056W	slim
GO:0005783	endoplasmic reticulum	YAL058W	slim
GO:0016020	membrane	YAL058W	slim
GO:0043226	organelle	YAL058W	slim
GO:0003674	molecular function	YAL058W	slim
GO:0009056	catabolic process	YAL058W	slim
GO:0030163	protein catabolic process	YAL058W	slim
GO:0006457	protein folding	YAL058W	slim
GO:0042221	response to chemical	YAL058W	slim
GO:0006950	response to stress	YAL058W	slim
GO:0005575	cellular component	YAL059C-A	slim
GO:0003674	molecular function	YAL059C-A	slim
GO:0008150	biological process	YAL059C-A	slim
GO:0043232	intracellular membraneless organelle	YAL059W	slim
GO:0005730	nucleolus	YAL059W	slim
